ward_no,Areaname,crime_type,arrest,year,crime_location,latitude,longitude
41,Hyde Park,BURGLARY,f,2015,RESIDENCE,41.98939002,-87.79128262
41,Hyde Park,THEFT,f,2015,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,41.97676298,-87.90098372
41,Hyde Park,THEFT,f,2015,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,41.9790063,-87.90646316
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,RESIDENCE,,
41,Hyde Park,THEFT,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.97996263,-87.80697866
41,Hyde Park,CRIMINAL DAMAGE,f,2015,STREET,41.97555594,-87.82536607
41,Hyde Park,THEFT,f,2015,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,41.97676298,-87.90098372
41,Hyde Park,BATTERY,f,2015,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,41.97676298,-87.90098372
41,Hyde Park,BURGLARY,f,2015,RESIDENCE,41.96938765,-87.80010106
41,Hyde Park,OTHER OFFENSE,f,2015,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,41.9790063,-87.90646316
41,Hyde Park,THEFT,f,2015,GROCERY FOOD STORE,41.97443857,-87.81119077
41,Hyde Park,BATTERY,f,2015,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,41.98023269,-87.91009604
41,Hyde Park,CRIMINAL DAMAGE,f,2015,WAREHOUSE,41.99295461,-87.80004418
41,Hyde Park,THEFT,f,2015,STREET,41.97636199,-87.79391964
41,Hyde Park,THEFT,f,2015,STREET,41.97622986,-87.79150088
41,Hyde Park,BATTERY,t,2015,APARTMENT,41.97602637,-87.84266916
41,Hyde Park,BATTERY,f,2015,RESIDENCE,41.99512017,-87.80368274
41,Hyde Park,BURGLARY,t,2015,RESIDENCE,41.97444217,-87.80121732
41,Hyde Park,NARCOTICS,t,2015,OTHER,41.99604319,-87.78748855
41,Hyde Park,BATTERY,f,2015,APARTMENT,,
41,Hyde Park,MOTOR VEHICLE THEFT,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.97443857,-87.81119077
41,Hyde Park,THEFT,f,2015,APARTMENT,,
41,Hyde Park,BATTERY,f,2015,RESIDENCE,41.97377403,-87.84218263
41,Hyde Park,BURGLARY,f,2015,RESIDENCE,41.98929756,-87.78856141
41,Hyde Park,CRIMINAL DAMAGE,f,2015,RESIDENCE PORCH/HALLWAY,41.97554552,-87.80066385
41,Hyde Park,OTHER OFFENSE,f,2015,STREET,41.97602848,-87.84252204
41,Hyde Park,CRIMINAL DAMAGE,f,2015,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,41.97359694,-87.90338446
41,Hyde Park,PUBLIC PEACE VIOLATION,f,2015,AIRCRAFT,41.97629041,-87.90522722
41,Hyde Park,OTHER OFFENSE,f,2015,RESIDENCE,41.9758816,-87.84154492
41,Hyde Park,CRIMINAL DAMAGE,f,2015,VACANT LOT/LAND,41.99214406,-87.78756601
41,Hyde Park,CRIMINAL TRESPASS,t,2015,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,41.9764212,-87.90497627
41,Hyde Park,OTHER OFFENSE,f,2015,RESIDENCE,41.97081116,-87.79523882
41,Hyde Park,BURGLARY,f,2015,RESIDENCE,42.00530878,-87.7734906
41,Hyde Park,CRIMINAL DAMAGE,f,2015,STREET,41.99013766,-87.81775721
41,Hyde Park,THEFT,f,2015,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,41.97629041,-87.90522722
41,Hyde Park,BATTERY,f,2015,SIDEWALK,42.00249377,-87.81570385
41,Hyde Park,THEFT,f,2015,STREET,41.97557685,-87.79678374
41,Hyde Park,CRIMINAL DAMAGE,f,2015,STREET,41.97776665,-87.82263803
41,Hyde Park,ASSAULT,f,2015,STREET,41.97504937,-87.82252367
41,Hyde Park,CRIMINAL DAMAGE,f,2015,STREET,41.98833872,-87.80834788
41,Hyde Park,CRIMINAL DAMAGE,f,2015,STREET,41.97782298,-87.82050083
41,Hyde Park,PUBLIC PEACE VIOLATION,f,2015,AIRCRAFT,41.96906219,-87.89005197
41,Hyde Park,CRIMINAL DAMAGE,f,2015,STREET,41.97776456,-87.82278516
41,Hyde Park,CRIMINAL DAMAGE,f,2015,STREET,41.97776698,-87.82271158
41,Hyde Park,THEFT,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.9790063,-87.90646316
41,Hyde Park,CRIMINAL TRESPASS,t,2015,AIRPORT EXTERIOR - NON-SECURE AREA,41.98082952,-87.89797712
41,Hyde Park,BURGLARY,f,2015,RESIDENCE,41.98917233,-87.78761714
41,Hyde Park,THEFT,f,2015,OTHER,41.99001576,-87.80602406
41,Hyde Park,CRIMINAL DAMAGE,f,2015,STREET,41.98104544,-87.8400892
41,Hyde Park,ASSAULT,f,2015,GOVERNMENT BUILDING/PROPERTY,41.95378308,-87.91510545
41,Hyde Park,CRIMINAL DAMAGE,f,2015,SIDEWALK,41.98120477,-87.80736196
41,Hyde Park,CRIMINAL DAMAGE,f,2015,RESIDENTIAL YARD (FRONT/BACK),41.99466177,-87.79951124
41,Hyde Park,THEFT,f,2015,DRIVEWAY - RESIDENTIAL,42.00202028,-87.76215468
41,Hyde Park,THEFT,f,2015,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,41.9764212,-87.90497627
41,Hyde Park,CRIM SEXUAL ASSAULT,f,2015,HOTEL/MOTEL,41.98105183,-87.83965884
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,AIRPORT VENDING ESTABLISHMENT,,
41,Hyde Park,BATTERY,f,2015,RESTAURANT,42.01200338,-87.78345533
41,Hyde Park,BURGLARY,t,2015,RESIDENCE,41.98471326,-87.80230144
41,Hyde Park,THEFT,f,2015,RESIDENCE,41.97810121,-87.79145928
41,Hyde Park,BURGLARY,t,2015,RESIDENCE,41.99080445,-87.8068636
41,Hyde Park,THEFT,f,2015,AIRCRAFT,41.9790063,-87.90646316
41,Hyde Park,OTHER OFFENSE,f,2015,RESIDENCE,,
41,Hyde Park,THEFT,f,2015,STREET,41.9854215,-87.8297566
41,Hyde Park,PUBLIC PEACE VIOLATION,f,2015,AIRCRAFT,,
41,Hyde Park,THEFT,f,2015,STREET,41.97426471,-87.84398452
41,Hyde Park,THEFT,f,2015,AIRPORT EXTERIOR - NON-SECURE AREA,41.9790063,-87.90646316
41,Hyde Park,SEX OFFENSE,t,2015,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,41.9764212,-87.90497627
41,Hyde Park,CRIMINAL TRESPASS,t,2015,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,41.97486195,-87.89037215
41,Hyde Park,CRIMINAL DAMAGE,f,2015,OTHER,42.00312544,-87.81764501
41,Hyde Park,BATTERY,f,2015,RESIDENCE,42.01254573,-87.80784713
41,Hyde Park,THEFT,f,2015,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,,
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,VEHICLE - OTHER RIDE SERVICE,42.00167643,-87.80674823
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,,41.99657348,-87.81668624
41,Hyde Park,THEFT,f,2015,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,41.9790063,-87.90646316
41,Hyde Park,BATTERY,f,2015,RESIDENCE,41.98181898,-87.82367961
41,Hyde Park,THEFT,f,2015,AIRPORT EXTERIOR - SECURE AREA,41.97629041,-87.90522722
41,Hyde Park,THEFT,f,2015,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,,
41,Hyde Park,BATTERY,f,2015,BAR OR TAVERN,41.98027128,-87.80308495
41,Hyde Park,PUBLIC PEACE VIOLATION,f,2015,AIRCRAFT,,
41,Hyde Park,THEFT,f,2015,RESTAURANT,41.97629041,-87.90522722
41,Hyde Park,CRIMINAL DAMAGE,f,2015,RESIDENCE,41.98694465,-87.80834463
41,Hyde Park,THEFT,f,2015,ATHLETIC CLUB,41.97855782,-87.83658879
41,Hyde Park,BATTERY,f,2015,APARTMENT,41.98110191,-87.83790777
41,Hyde Park,BATTERY,f,2015,AIRPORT EXTERIOR - NON-SECURE AREA,,
41,Hyde Park,THEFT,f,2015,AIRPORT EXTERIOR - SECURE AREA,41.97486195,-87.89037215
41,Hyde Park,BATTERY,t,2015,APARTMENT,41.98719515,-87.78906487
41,Hyde Park,THEFT,f,2015,AIRPORT PARKING LOT,41.9790063,-87.90646316
41,Hyde Park,PUBLIC PEACE VIOLATION,f,2015,AIRCRAFT,,
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,AIRPORT VENDING ESTABLISHMENT,41.9819585,-87.88402264
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,AIRPORT VENDING ESTABLISHMENT,41.9819585,-87.88402264
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,AIRPORT VENDING ESTABLISHMENT,41.9819585,-87.88402264
41,Hyde Park,CRIMINAL DAMAGE,f,2015,AIRPORT PARKING LOT,41.97629041,-87.90522722
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,RESIDENCE,,
41,Hyde Park,THEFT,f,2015,STREET,41.98143335,-87.8069408
41,Hyde Park,THEFT,f,2015,SMALL RETAIL STORE,41.9973289,-87.76460627
41,Hyde Park,THEFT,f,2015,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,41.97629041,-87.90522722
41,Hyde Park,MOTOR VEHICLE THEFT,f,2015,AIRPORT VENDING ESTABLISHMENT,,
41,Hyde Park,CRIMINAL TRESPASS,f,2015,APARTMENT,41.97141062,-87.84654005
41,Hyde Park,THEFT,t,2015,RESTAURANT,41.9854215,-87.8297566
41,Hyde Park,THEFT,f,2015,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,41.97486195,-87.89037215
41,Hyde Park,NARCOTICS,t,2015,AIRPORT/AIRCRAFT,,
41,Hyde Park,OTHER OFFENSE,f,2015,RESIDENCE,41.97089694,-87.80127992
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,COMMERCIAL / BUSINESS OFFICE,,
41,Hyde Park,MOTOR VEHICLE THEFT,f,2015,STREET,42.01219731,-87.80906798
41,Hyde Park,THEFT,f,2015,STREET,41.97084847,-87.78918198
41,Hyde Park,BATTERY,f,2015,APARTMENT,41.99492091,-87.78750917
41,Hyde Park,BATTERY,f,2015,RESIDENCE,41.99325759,-87.81770628
41,Hyde Park,THEFT,f,2015,AIRPORT VENDING ESTABLISHMENT,41.97530293,-87.89949315
41,Hyde Park,THEFT,f,2015,STREET,41.99606843,-87.78991631
41,Hyde Park,SEX OFFENSE,f,2015,STREET,41.99250046,-87.81472173
41,Hyde Park,CRIMINAL DAMAGE,f,2015,RESIDENCE,41.97975395,-87.81176154
41,Hyde Park,THEFT,f,2015,SIDEWALK,41.99116701,-87.79862082
41,Hyde Park,THEFT,f,2015,"SCHOOL, PUBLIC, GROUNDS",41.98287878,-87.79144084
41,Hyde Park,THEFT,f,2015,AIRPORT PARKING LOT,41.97629041,-87.90522722
41,Hyde Park,THEFT,f,2015,RESIDENCE-GARAGE,,
41,Hyde Park,OTHER OFFENSE,f,2015,BAR OR TAVERN,41.98027128,-87.80308495
41,Hyde Park,THEFT,f,2015,STREET,41.97463512,-87.78910562
41,Hyde Park,ROBBERY,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.98693001,-87.84031964
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,RESIDENCE,41.97194423,-87.79811234
41,Hyde Park,THEFT,f,2015,AIRPORT TRANSPORTATION SYSTEM (ATS),,
41,Hyde Park,OTHER OFFENSE,f,2015,RESIDENCE,41.97265092,-87.79665385
41,Hyde Park,THEFT,f,2015,RESIDENCE,42.00016647,-87.7713062
41,Hyde Park,OTHER OFFENSE,f,2015,RESIDENCE,42.01889109,-87.80982261
41,Hyde Park,BATTERY,t,2015,HOSPITAL BUILDING/GROUNDS,41.98863081,-87.81282937
41,Hyde Park,THEFT,f,2015,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,41.97486195,-87.89037215
41,Hyde Park,THEFT,f,2015,AIRPORT VENDING ESTABLISHMENT,41.97530293,-87.89949315
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,AIRPORT VENDING ESTABLISHMENT,41.98129586,-87.88509757
41,Hyde Park,NON-CRIMINAL,f,2015,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,,
41,Hyde Park,THEFT,f,2015,COMMERCIAL / BUSINESS OFFICE,41.97750144,-87.90397973
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,RESIDENCE,41.98149324,-87.7938322
41,Hyde Park,BURGLARY,f,2015,RESIDENCE-GARAGE,41.98262531,-87.82357387
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,AIRPORT EXTERIOR - NON-SECURE AREA,,
41,Hyde Park,NON-CRIMINAL,f,2015,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,41.97629041,-87.90522722
41,Hyde Park,THEFT,f,2015,RESIDENTIAL YARD (FRONT/BACK),41.98146008,-87.82011489
41,Hyde Park,THEFT,f,2015,STREET,41.98627634,-87.82015713
41,Hyde Park,THEFT,f,2015,VEHICLE NON-COMMERCIAL,41.99599691,-87.81358236
41,Hyde Park,DECEPTIVE PRACTICE,f,2015,AIRPORT VENDING ESTABLISHMENT,41.98082628,-87.88361132
41,Hyde Park,CRIMINAL DAMAGE,f,2015,DRIVEWAY - RESIDENTIAL,41.97586295,-87.83911785
41,Hyde Park,OTHER OFFENSE,f,2015,RESIDENCE,,
41,Hyde Park,THEFT,f,2015,AIRCRAFT,41.9790063,-87.90646316
41,Hyde Park,THEFT,f,2015,AIRPORT VENDING ESTABLISHMENT,41.98016799,-87.90670181
41,Hyde Park,BATTERY,f,2015,RESIDENCE,41.97777392,-87.82242099
41,Hyde Park,THEFT,t,2015,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,41.97629041,-87.90522722
41,Hyde Park,BATTERY,f,2015,PARKING LOT/GARAGE(NON.RESID.),42.00244387,-87.81741873
41,Hyde Park,THEFT,f,2015,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,41.9790063,-87.90646316
41,Hyde Park,ASSAULT,f,2015,STREET,41.99743971,-87.77544314
41,Hyde Park,THEFT,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.97706723,-87.88585172
41,Hyde Park,ASSAULT,f,2015,AIRCRAFT,,
41,Hyde Park,THEFT,f,2015,RESIDENCE PORCH/HALLWAY,41.97744068,-87.83971247
42,Woodlawn,THEFT,f,2015,STREET,41.88816513,-87.62293721
42,Woodlawn,THEFT,f,2015,SIDEWALK,41.88816513,-87.62293721
42,Woodlawn,OTHER OFFENSE,f,2015,APARTMENT,41.88454669,-87.61694731
42,Woodlawn,THEFT,f,2015,APARTMENT,,
42,Woodlawn,BATTERY,t,2015,SIDEWALK,41.8903754,-87.62802141
42,Woodlawn,THEFT,f,2015,RESTAURANT,41.89269427,-87.63115452
42,Woodlawn,THEFT,f,2015,SMALL RETAIL STORE,41.88350019,-87.6278767
42,Woodlawn,THEFT,f,2015,RESTAURANT,41.88238916,-87.62437461
42,Woodlawn,BATTERY,f,2015,SIDEWALK,41.89693378,-87.62484553
42,Woodlawn,THEFT,f,2015,HOTEL/MOTEL,41.89334686,-87.62347847
42,Woodlawn,THEFT,f,2015,RESTAURANT,41.89574842,-87.62353635
42,Woodlawn,BURGLARY,f,2015,MEDICAL/DENTAL OFFICE,41.88519172,-87.62448685
42,Woodlawn,THEFT,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.89250768,-87.62623869
42,Woodlawn,THEFT,f,2015,RESTAURANT,41.89789513,-87.62409661
42,Woodlawn,ROBBERY,f,2015,SIDEWALK,41.88179079,-87.62435552
42,Woodlawn,OTHER OFFENSE,f,2015,STREET,,
42,Woodlawn,THEFT,t,2015,DEPARTMENT STORE,41.88350019,-87.6278767
42,Woodlawn,THEFT,f,2015,STREET,41.88449753,-87.6258386
42,Woodlawn,BURGLARY,f,2015,SMALL RETAIL STORE,41.89478477,-87.63465396
42,Woodlawn,THEFT,t,2015,DEPARTMENT STORE,41.8951409,-87.62425563
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,OTHER,,
42,Woodlawn,THEFT,f,2015,COMMERCIAL / BUSINESS OFFICE,41.8941675,-87.62172476
42,Woodlawn,THEFT,f,2015,RESTAURANT,41.89256982,-87.62208039
42,Woodlawn,THEFT,t,2015,DEPARTMENT STORE,41.89601097,-87.62427907
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,DEPARTMENT STORE,41.88171846,-87.62776043
42,Woodlawn,THEFT,f,2015,ATHLETIC CLUB,41.89556567,-87.63626156
42,Woodlawn,THEFT,f,2015,BAR OR TAVERN,,
42,Woodlawn,PUBLIC PEACE VIOLATION,f,2015,GOVERNMENT BUILDING/PROPERTY,41.88022879,-87.63231552
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,HOTEL/MOTEL,41.90157511,-87.62720759
42,Woodlawn,PUBLIC PEACE VIOLATION,f,2015,STREET,41.88946287,-87.62422294
42,Woodlawn,THEFT,f,2015,SMALL RETAIL STORE,41.89949064,-87.62694772
42,Woodlawn,THEFT,f,2015,TAXICAB,41.88448407,-87.62321302
42,Woodlawn,THEFT,t,2015,DEPARTMENT STORE,41.88171846,-87.62776043
42,Woodlawn,CRIMINAL TRESPASS,t,2015,PARKING LOT/GARAGE(NON.RESID.),41.89674501,-87.62360613
42,Woodlawn,THEFT,f,2015,CTA TRAIN,41.88548189,-87.62793569
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,RESIDENCE,,
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,RESIDENCE,,
42,Woodlawn,THEFT,f,2015,HOSPITAL BUILDING/GROUNDS,41.89677291,-87.62146443
42,Woodlawn,THEFT,f,2015,HOSPITAL BUILDING/GROUNDS,41.8957732,-87.62177672
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,OTHER,41.88448745,-87.62866273
42,Woodlawn,BATTERY,f,2015,HOTEL/MOTEL,41.8924816,-87.62735183
42,Woodlawn,ASSAULT,f,2015,STREET,41.89424376,-87.6341383
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,,41.9010737,-87.63136393
42,Woodlawn,THEFT,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.8895947,-87.62113648
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,GOVERNMENT BUILDING/PROPERTY,41.88320956,-87.6301567
42,Woodlawn,THEFT,t,2015,DEPARTMENT STORE,41.88350019,-87.6278767
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,DEPARTMENT STORE,41.89789513,-87.62409661
42,Woodlawn,THEFT,f,2015,BAR OR TAVERN,41.88447238,-87.63337818
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,BAR OR TAVERN,41.88447238,-87.63337818
42,Woodlawn,THEFT,f,2015,RESTAURANT,41.89275303,-87.6241939
42,Woodlawn,THEFT,t,2015,GROCERY FOOD STORE,41.89658837,-87.63475918
42,Woodlawn,THEFT,f,2015,SMALL RETAIL STORE,41.89941016,-87.62413127
42,Woodlawn,CRIM SEXUAL ASSAULT,f,2015,APARTMENT,41.891476,-87.62537228
42,Woodlawn,ASSAULT,f,2015,RESIDENCE PORCH/HALLWAY,41.89198447,-87.62416567
42,Woodlawn,THEFT,t,2015,DEPARTMENT STORE,41.8951409,-87.62425563
42,Woodlawn,THEFT,f,2015,DRUG STORE,41.8794503,-87.62842431
42,Woodlawn,THEFT,t,2015,SMALL RETAIL STORE,41.89804054,-87.62409132
42,Woodlawn,THEFT,t,2015,DEPARTMENT STORE,41.88350019,-87.6278767
42,Woodlawn,THEFT,t,2015,DEPARTMENT STORE,41.89941016,-87.62413127
42,Woodlawn,THEFT,f,2015,VEHICLE-COMMERCIAL,41.88351626,-87.63680384
42,Woodlawn,THEFT,f,2015,HOTEL/MOTEL,41.89260531,-87.61983959
42,Woodlawn,THEFT,f,2015,RESTAURANT,41.87923585,-87.62434704
42,Woodlawn,THEFT,t,2015,DEPARTMENT STORE,41.89941016,-87.62413127
42,Woodlawn,BATTERY,f,2015,RESIDENCE PORCH/HALLWAY,41.89198447,-87.62416567
42,Woodlawn,CRIMINAL TRESPASS,f,2015,RESTAURANT,41.89131644,-87.63111819
42,Woodlawn,DECEPTIVE PRACTICE,f,2015,HOTEL/MOTEL,41.88077543,-87.62702903
42,Woodlawn,BATTERY,f,2015,SMALL RETAIL STORE,41.90113338,-87.62990498
42,Woodlawn,THEFT,f,2015,DEPARTMENT STORE,41.89941016,-87.62413127
42,Woodlawn,MOTOR VEHICLE THEFT,f,2015,STREET,41.885751,-87.62841014
42,Woodlawn,THEFT,f,2015,OTHER,41.88321078,-87.62990697
42,Woodlawn,OTHER OFFENSE,f,2015,OTHER,41.88195199,-87.63318536
42,Woodlawn,THEFT,f,2015,STREET,41.8887783,-87.63251219
42,Woodlawn,NARCOTICS,t,2015,SIDEWALK,,
42,Woodlawn,CRIMINAL DAMAGE,f,2015,OTHER,41.89994592,-87.62779856
42,Woodlawn,THEFT,f,2015,OTHER,41.88188393,-87.64006044
42,Woodlawn,BATTERY,f,2015,STREET,41.90393572,-87.6290881
42,Woodlawn,BURGLARY,f,2015,OTHER,41.88236487,-87.626222
42,Woodlawn,THEFT,f,2015,CONVENIENCE STORE,41.88283423,-87.63385509
